Name,google_rating,google_reviews
La Table de Yoann Conte,4.9,101.0
Maison Benoît Vidal,4.8,258.0
Casadelmar,4.5,285.0
La Villa Archange,4.5,738.0
La Pyramide - Maison Henriroux,4.7,1474.0
Rùn,4.4,213.0
The Eight,4.3,675.0
Amber,4.5,532.0
L'Envol,4.7,212.0
Feng Wei Ju,4.1,841.0
Tin Lung Heen,4.5,701.0
Tate,3.0,6.0
Ying Jee Club,3.8,37.0
The Huaiyang Garden,5.0,43.0
Lung King Heen,4.5,877.0
Alain Ducasse at Morpheus,4.6,226.0
Bo Innovation,4.3,372.0
Noi by Paulo Airaudo,4.5,3358.0
Wing Lei,4.5,314.0
Lai Ching Heen,4.5,574.0
Arbor,4.1,193.0
Octavium,4.3,4.0
The Yeatman,4.8,4861.0
Vila Joya,4.8,748.0
Antiqvvm,4.7,668.0
Ocean,4.7,258.0
Alma,4.7,1499.0
Belcanto,4.6,1435.0
Casa de Chá da Boa Nova,4.7,1080.0
Il Gallo d'Oro,4.5,267.0
Ma Langue Sourit,4.8,594.0
L'Eau Vive,4.8,586.0
Hertog Jan at Botanic,4.7,392.0
La Villa Lorraine by Yves Mattagne,4.7,1556.0
Vrijmoed,4.8,672.0
Bozar Restaurant,4.4,530.0
Slagmolen,4.8,517.0
L'air du temps,4.8,878.0
Nuance,4.7,421.0
Le Chalet de la Forêt,4.5,564.0
Hof van Cleve - Floris Van Der Veken,4.7,660.0
La Table de Maxime,4.7,604.0
Ralf Berendsen,4.8,78.0
Bartholomeus,4.8,452.0
Sir Kwinten,4.7,636.0
Castor,4.9,457.0
La Paix,4.5,256.0
d'Eugénie à Emilie,4.8,334.0
Cuchara,4.7,277.0
La Durée,4.7,153.0
The Jane,4.6,1477.0
De Jonkman,4.7,320.0
Kwonsooksoo,4.5,453.0
Mingles,4.5,779.0
La Yeon,4.5,757.0
Soigné,4.5,425.0
Kojima,4.4,166.0
Mitou,4.8,83.0
alla prima,4.6,373.0
Restaurant Allen,4.5,72.0
Hand and Flowers,4.4,1824.0
Gymkhana,4.5,2537.0
Midsummer House,4.7,699.0
The Glenturret Lalique,4.8,69.0
Ynyshir,4.8,230.0
Restaurant Sat Bains,4.6,628.0
Restaurant Andrew Fairlie,4.7,110.0
Opheem,4.7,796.0
"Le Manoir aux Quat' Saisons, a Belmond Hotel",4.8,1640.0
A. Wong,4.3,1172.0
Alex Dilling at Hotel Café Royal,4.1,147.0
Chapter One by Mickael Viljanen,4.8,1035.0
Story,4.6,503.0
Liath,4.8,178.0
La Dame de Pic London,4.6,543.0
The Clove Club,4.6,999.0
Kitchen Table,4.7,321.0
Claude Bosi at Bibendum,4.6,16.0
Terre,4.9,49.0
dede,4.9,194.0
Patrick Guilbaud,4.7,612.0
Ikoyi,4.5,768.0
Dinner by Heston Blumenthal,4.6,2010.0
Trivet,4.5,323.0
Moor Hall,4.8,698.0
Da Terra,4.8,361.0
Brooklands by Claude Bosi,4.3,53.0
Aramburu,4.7,987.0
Jungsik,4.4,1495.0
Thaller - Restaurant,4.6,240.0
RAU nature-based cuisine,4.8,243.0
Paula,5.0,5.0
Harald Irka am Pfarrhof - Fine Dine,4.8,182.0
Sattlerhof,4.4,185.0
Bootshaus,4.7,384.0
Hubert Wallner,4.5,383.0
Die Weinbank - Restaurant,4.5,330.0
Lukas Kapeller,5.0,54.0
ZeitRAUM,4.8,687.0
Geschwister Rauch - Restaurant,4.5,546.0
Geiger Alm,4.7,102.0
Mörwald „Toni M.“,4.6,54.0
Kilian Stuba,4.8,37.0
Kirchenwirt,4.9,44.0
Pfefferschiff,4.7,226.0
Herzig,4.7,212.0
Pramerl & the Wolf,4.7,273.0
Edvard,4.5,274.0
The Glass Garden,4.8,179.0
Rouge Noir,4.7,119.0
Waldschänke,4.7,294.0
Saziani,4.5,143.0
Wörgötter - Fine Dining,4.8,300.0
Lukas Restaurant,4.9,276.0
Tanglberg,4.8,145.0
Esslokal,4.7,267.0
Die Forelle,4.7,201.0
Les Deux Kitzbühel - Brasserie & Bar,4.5,26.0
Beef Club,4.8,57.0
Moritz,4.9,142.0
Lieperts,4.8,205.0
Schlosskeller Gourmetstube,4.7,227.0
Rossbarth,4.8,186.0
Verdi,4.8,557.0
Artis,4.5,242.0
Esszimmer - Everybody's Darling,4.3,313.0
TIAN,4.6,825.0
Atelier Fischer,4.0,31.0
dahoam by Andreas Herbst,5.0,8.0
