cuisine_type,google_rating,total_restaurants
"Sardinian, Home Cooking",4.7,1
"Lombardian, Regional Cuisine",4.7,1
"Tuscan, Creative",4.7,3
"French Contemporary, Classic French",4.7,1
"Californian, Italian",4.7,1
"Cuisine from Abruzzo, Seasonal Cuisine",4.7,1
"Contemporary, Scandinavian",4.7,1
"Indonesian, Fusion",4.7,2
"Contemporary, South East Asian",4.7,1
"Seafood, Scottish",4.7,1
"Modern French, World Cuisine",4.7,1
"Regional Cuisine, Meats and Grills",4.7,1
"Croatian, Seafood",4.7,1
Chicken Specialities,4.7,1
"Italian, Milanese",4.7,1
"Creative, Asturian",4.7,1
"Regional Cuisine, Norwegian",4.7,1
"International, Small eats",4.7,1
"French Contemporary, Classic Cuisine",4.7,2
"Contemporary, Croatian",4.7,1
"Tuscan, Seasonal Cuisine",4.7,1
"South East Asian, Lao",4.7,1
"Creative British, Modern Cuisine",4.7,1
"Polish, Eastern European",4.7,1
"Deli, Italian",4.7,1
"Vegan, Asian",4.7,1
"Modern French, Classic Cuisine",4.7,5
"Mantuan, Lombardian",4.7,1
"Lao, Street Food",4.7,1
"German, Seasonal Cuisine",4.7,2
"Classic French, Creative French",4.7,1
"Contemporary, Chinese",4.7,1
"406 Kameyacho, Nakagyo-ku, Kyoto, 604-0941, Japan",4.7,1
"Country cooking, Campanian",4.7,1
"Moroccan, Mexican",4.7,1
"Scottish, Southern",4.7,1
"Japanese, Barbecue",4.7,1
"Creative, Spanish",4.7,1
"Portuguese, Mediterranean Cuisine",4.7,1
"Farm to table, Mediterranean Cuisine",4.7,4
"Regional Cuisine, South Tyrolean",4.7,1
"Creative French, International",4.7,1
"Alpine, Regional Cuisine",4.7,5
"Alpine, Classic Cuisine",4.7,1
"Argentinian, Meats and Grills",4.700000000000000,2
"French, Asian Influences",4.700000000000000,2
"Italian, Campanian",4.700000000000000,2
Balkan,4.700000000000000,2
"Innovative, Creative",4.700000000000000,2
"French Contemporary, Creative French",4.700000000000000,4
"Alpine, Creative",4.700000000000000,2
"Classic Cuisine, Italian Contemporary",4.700000000000000,2
"Modern Cuisine, Danish",4.700000000000000,2
"Japanese, Modern Cuisine",4.700000000000000,2
"Modern Cuisine, Farm to table",4.696610169491530,60
"Classic Cuisine, Mediterranean Cuisine",4.6923076923076900,13
"Modern Cuisine, Seasonal Cuisine",4.6900000000000000,60
"Modern Cuisine, Creative",4.689430894308940,123
Hungarian,4.685714285714290,7
Creative French,4.682857142857140,35
"French, Californian",4.68,5
"Seasonal Cuisine, Contemporary",4.68,6
"Japanese, Contemporary",4.676923076923080,13
"International, Country cooking",4.675,8
"Modern French, Seasonal Cuisine",4.675,12
"Creative, Fusion",4.675,4
"Italian Contemporary, Seasonal Cuisine",4.675,4
"International, Traditional Cuisine",4.675,4
"French Contemporary, Seasonal Cuisine",4.675,4
"Seasonal Cuisine, Modern Cuisine",4.675,20
"Creative, Modern Cuisine",4.672881355932200,118
"Farm to table, Creative",4.672727272727270,11
"Classic French, Farm to table",4.671428571428570,14
"Traditional Cuisine, Regional Cuisine",4.671428571428570,14
"Italian Contemporary, Regional Cuisine",4.666666666666670,3
"Contemporary, Campanian",4.666666666666670,3
"Country cooking, Home Cooking",4.666666666666670,6
"Traditional Cuisine, Swiss",4.666666666666670,3
"Mediterranean Cuisine, Italian Contemporary",4.666666666666670,3
"Japanese, Tempura",4.666666666666670,6
"Country cooking, Seasonal Cuisine",4.663157894736840,19
"Mediterranean Cuisine, Creative",4.6625,8
"Creative, Country cooking",4.6625,8
"Austrian, Regional Cuisine",4.66,5
"French, Classic French",4.66,5
"Modern French, French",4.660000000000000,5
"Fusion, Creative",4.6571428571428600,7
"Italian Contemporary, Modern Cuisine",4.6571428571428600,14
"Classic Cuisine, Farm to table",4.657142857142860,21
"Farm to table, Modern Cuisine",4.654285714285720,35
"Creative, Regional Cuisine",4.653846153846150,13
"Asian, Mediterranean Cuisine",4.65,2
"French, Seasonal Cuisine",4.65,2
"Creative, Vegetarian",4.65,2
"Italian Contemporary, Sicilian",4.65,2
"Modern Cuisine, Alpine",4.65,2
"Meats and Grills, Argentinian",4.65,2
"Regional Cuisine, Innovative",4.65,4
"World Cuisine, Farm to table",4.65,2
"Country cooking, Grills",4.65,2
"Japanese, Californian",4.65,2
"Korean, Fusion",4.65,2
"Creative, Hungarian",4.65,2
"Spanish, Fusion",4.65,2
"Emilian, Modern Cuisine",4.65,4
"Middle Eastern, Lebanese",4.65,2
"Vegan, Japanese",4.65,2
